Number to analize: 1000

Iteration		Par		Impar
0		0		0
1		0		0
2		1		0
3		5		2
4		2		0
5		4		1
6		6		2
7		11		5
8		3		0
9		13		6
10		5		1
11		10		4
12		7		2
13		7		2
14		12		5
15		12		5
16		4		0
17		9		3
18		14		6
19		14		6
20		6		1
21		6		1
22		11		4
23		11		4
24		8		2
25		16		7
26		8		2
27		70		41
28		13		5
29		13		5
30		13		5
31		67		39
32		5		0
33		18		8
34		10		3
35		10		3
36		15		6
37		15		6
38		15		6
39		23		11
40		7		1
41		69		40
42		7		1
43		20		9
44		12		4
45		12		4
46		12		4
47		66		38
48		9		2
49		17		7
50		17		7
51		17		7
52		9		2
53		9		2
54		71		41
55		71		41
56		14		5
57		22		10
58		14		5
59		22		10
60		14		5
61		14		5
62		68		39
63		68		39
64		6		0
65		19		8
66		19		8
67		19		8
68		11		3
69		11		3
70		11		3
71		65		37
72		16		6
73		73		42
74		16		6
75		11		3
76		16		6
77		16		6
78		24		11
79		24		11
80		8		1
81		16		6
82		70		40
83		70		40
84		8		1
85		8		1
86		21		9
87		21		9
88		13		4
89		21		9
90		13		4
91		59		33
92		13		4
93		13		4
94		67		38
95		67		38
96		10		2
97		75		43
98		18		7
99		18		7
100		18		7
101		18		7
102		18		7
103		56		31
104		10		2
105		26		12
106		10		2
107		64		36
108		72		41
109		72		41
110		72		41
111		45		24
112		15		5
113		10		2
114		23		10
115		23		10
116		15		5
117		15		5
118		23		10
119		23		10
120		15		5
121		61		34
122		15		5
123		31		15
124		69		39
125		69		39
126		69		39
127		31		15
128		7		0
129		77		44
130		20		8
131		20		8
132		20		8
133		20		8
134		20		8
135		28		13
136		12		3
137		58		32
138		12		3
139		28		13
140		12		3
141		12		3
142		66		37
143		66		37
144		17		6
145		74		42
146		74		42
147		74		42
148		17		6
149		17		6
150		12		3
151		12		3
152		17		6
153		25		11
154		17		6
155		55		30
156		25		11
157		25		11
158		25		11
159		36		18
160		9		1
161		63		35
162		17		6
163		17		6
164		71		40
165		71		40
166		71		40
167		44		23
168		9		1
169		33		16
170		9		1
171		79		45
172		22		9
173		22		9
174		22		9
175		52		28
176		14		4
177		22		9
178		22		9
179		22		9
180		14		4
181		14		4
182		60		33
183		60		33
184		14		4
185		30		14
186		14		4
187		30		14
188		68		38
189		68		38
190		68		38
191		30		14
192		11		2
193		76		43
194		76		43
195		76		43
196		19		7
197		19		7
198		19		7
199		76		43
200		19		7
201		14		4
202		19		7
203		27		12
204		19		7
205		19		7
206		57		31
207		57		31
208		11		2
209		27		12
210		27		12
211		27		12
212		11		2
213		11		2
214		65		36
215		65		36
216		73		41
217		19		7
218		73		41
219		35		17
220		73		41
221		73		41
222		46		24
223		46		24
224		16		5
225		35		17
226		11		2
227		11		2
228		24		10
229		24		10
230		24		10
231		81		46
232		16		5
233		54		29
234		16		5
235		81		46
236		24		10
237		24		10
238		24		10
239		35		17
240		16		5
241		16		5
242		62		34
243		62		34
244		16		5
245		16		5
246		32		15
247		32		15
248		70		39
249		32		15
250		70		39
251		43		22
252		70		39
253		70		39
254		32		15
255		32		15
256		8		0
257		78		44
258		78		44
259		78		44
260		21		8
261		21		8
262		21		8
263		51		27
264		21		8
265		78		44
266		21		8
267		16		5
268		21		8
269		21		8
270		29		13
271		29		13
272		13		3
273		21		8
274		59		32
275		59		32
276		13		3
277		13		3
278		29		13
279		29		13
280		13		3
281		29		13
282		13		3
283		40		20
284		67		37
285		67		37
286		67		37
287		29		13
288		18		6
289		21		8
290		75		42
291		75		42
292		75		42
293		75		42
294		75		42
295		37		18
296		18		6
297		48		25
298		18		6
299		75		42
300		13		3
301		13		3
302		13		3
303		29		13
304		18		6
305		26		11
306		26		11
307		26		11
308		18		6
309		18		6
310		56		30
311		56		30
312		26		11
313		83		47
314		26		11
315		26		11
316		26		11
317		26		11
318		37		18
319		37		18
320		10		1
321		18		6
322		64		35
323		64		35
324		18		6
325		18		6
326		18		6
327		91		52
328		72		40
329		34		16
330		72		40
331		18		6
332		72		40
333		72		40
334		45		23
335		45		23
336		10		1
337		72		40
338		34		16
339		34		16
340		10		1
341		10		1
342		80		45
343		80		45
344		23		9
345		80		45
346		23		9
347		80		45
348		23		9
349		23		9
350		53		28
351		53		28
352		15		4
353		80		45
354		23		9
355		23		9
356		23		9
357		23		9
358		23		9
359		34		16
360		15		4
361		31		14
362		15		4
363		31		14
364		61		33
365		61		33
366		61		33
367		31		14
368		15		4
369		15		4
370		31		14
371		31		14
372		15		4
373		15		4
374		31		14
375		31		14
376		69		38
377		42		21
378		69		38
379		39		19
380		69		38
381		69		38
382		31		14
383		31		14
384		12		2
385		23		9
386		77		43
387		77		43
388		77		43
389		77		43
390		77		43
391		77		43
392		20		7
393		39		19
394		20		7
395		50		26
396		20		7
397		20		7
398		77		43
399		77		43
400		20		7
401		15		4
402		15		4
403		15		4
404		20		7
405		20		7
406		28		12
407		28		12
408		20		7
409		28		12
410		20		7
411		85		48
412		58		31
413		58		31
414		58		31
415		85		48
416		12		2
417		85		48
418		28		12
419		28		12
420		28		12
421		28		12
422		28		12
423		23		9
424		12		2
425		39		19
426		12		2
427		36		17
428		66		36
429		66		36
430		66		36
431		28		12
432		74		41
433		20		7
434		20		7
435		20		7
436		74		41
437		74		41
438		36		17
439		36		17
440		74		41
441		20		7
442		74		41
443		36		17
444		47		24
445		47		24
446		47		24
447		63		34
448		17		5
449		74		41
450		36		17
451		36		17
452		12		2
453		12		2
454		12		2
455		28		12
456		25		10
457		82		46
458		25		10
459		82		46
460		25		10
461		25		10
462		82		46
463		82		46
464		17		5
465		25		10
466		55		29
467		55		29
468		17		5
469		17		5
470		82		46
471		82		46
472		25		10
473		25		10
474		25		10
475		20		7
476		25		10
477		25		10
478		36		17
479		36		17
480		17		5
481		33		15
482		17		5
483		17		5
484		63		34
485		63		34
486		63		34
487		90		51
488		17		5
489		33		15
490		17		5
491		90		51
492		33		15
493		33		15
494		33		15
495		63		34
496		71		39
497		17		5
498		33		15
499		33		15
500		71		39
501		71		39
502		44		22
503		44		22
504		71		39
505		41		20
506		71		39
507		25		10
508		33		15
509		33		15
510		33		15
511		41		20
512		9		0
513		25		10
514		79		44
515		79		44
516		79		44
517		79		44
518		79		44
519		41		20
520		22		8
521		79		44
522		22		8
523		79		44
524		22		8
525		22		8
526		52		27
527		52		27
528		22		8
529		22		8
530		79		44
531		79		44
532		22		8
533		22		8
534		17		5
535		17		5
536		22		8
537		17		5
538		22		8
539		33		15
540		30		13
541		30		13
542		30		13
543		87		49
544		14		3
545		30		13
546		22		8
547		22		8
548		60		32
549		60		32
550		60		32
551		30		13
552		14		3
553		87		49
554		14		3
555		22		8
556		30		13
557		30		13
558		30		13
559		57		30
560		14		3
561		30		13
562		30		13
563		30		13
564		14		3
565		14		3
566		41		20
567		41		20
568		68		37
